Study_ID,Species_scientific_name,Species_common_name,Comment,Class_scientific_name
S_150,Somateria mollisima,Common eider,na,Aves
S_150,Phalacrocorax aristotelis,European shag,na,Aves
S_150,Mergus merganser,Common merganser,na,Aves
S_150,Lophodytes cucullatus,Hooded merganser,na,Aves
S_150,Bucephala albeola,Bufflehead,na,Aves
S_150,Anas platyrhynchos,Mallard,na,Aves
S_150,Melanitta perpicillata,Surf scoter,na,Aves
S_150,Anas rubripes,Black duck,na,Aves
S_150,Bucephala clangula,Common goldeneye,na,Aves
S_150,Aythya marlia,Greater scaup,na,Aves
S_150,Aythya affinis,Lesser scaup ,na,Aves
S_150,Aythya collaris,Ring-neck duck,na,Aves
S_150,Diomedea immutabilis,Laysan albatross,na,Aves
S_150,Diomedea nigripes,Black-fotted albatross,na,Aves
S_150,Ardea herodias,Great blue heron ,na,Aves
S_150,Fulmarus glacialis,Northern fulmar,na,Aves
S_150,Ardea herodias,Great blue heron,na,Aves
S_150,Larus argentatus,Herring gull,na,Aves
S_150,Pelecanus occidentalis,Brown pelican,na,Aves
S_150,Mirounga leonine,Elephant seal ,na,Mammal
S_150,Arctocephalus gazella,Antarctic fur sea,na,Mammal
S_150,Neophocaena phocaenoides,Finless porpoise,The authors did not report the scientific name,Mammal
S_150,Phocoena phocoena,Harbor porpoise,na,Mammal
S_150,Peponocephala electra,Melon-headed whale,na,Mammal
S_150,Pusa sibirica,Baikal seal,na,Mammal
S_150,Platanista gangetica,Ganges river dolphin,na,Mammal
S_150,Sousa chinensis,Indo-Pacific humpback dolphin,na,Mammal
S_150,Neophocaena phocaenoides,Finless porpoise,na,Mammal
S_150,Balaenoptera acutorostrata,Minke whale,na,Mammal
S_150,Delphinus capensis,Long-beaked common dolphin,,Mammal
S_150,Phocoena phocoena,Harbor porpoise,na,Mammal
S_150,Phoca vitulina,Harbor seal,na,Mammal
S_150,Enhydra lutris,Southern sea otter ,The authors did not report the scientific name,Mammal
S_150,Enhydra lutris kenyoni,Northern sea otter,na,Mammal
S_150,Phoca vitulina concolor,Harbor seal,na,Mammal
S_150,Phoca hispida,Ringed seal,na,Mammal
S_150,Erignathus barbatus,Bearded seal,na,Mammal
S_150,Phoca largha,Spotted seal,na,Mammal
S_150,Phoca fasciata,Ribbon seal,na,Mammal
S_150,Pontoporia blainvillei,Franciscana dolphin,na,Mammal
S_150,Arctocephalus trophicalis,Subantarctic fur seal,na,Mammal
S_150,Sotalia guianensis,Tucuxi dolphin,na,Mammal
S_174,Mus musculus,CD1 mice,The authors did not report the scientific name,Mammalia
S_174,Rattus norvegicus,Sprague Dawley rat,The authors did not report the scientific name,Mammalia
S_174,Leporidae,Rabbit,The authors did not report the scientific name,Mammalia
S_174,Danio rerio,Zebrafish,The authors did not report the scientific name,Actinopterygii
S_174,Gallus domesticus,Chicken,The authors did not report the scientific name,Aves
S_174,Xenopus,Clawed frogs,The authors did not report the common name,Amphibian
S_174,Salmo salar,Atlantic salmon,The authors did not report the scientific name,Actinopterygii
S_174,Drosophila melanogaster,Fruit fly,The authors did not report the scientific name,Insecta
S_175,Aetobatus narinari,Spotted eagle ray,na,Chondrichthyes 
S_182,Sprague Dawley rat,Rattus norvegicus,na,Mammalia
S_182,CD1 mice,Mus musculus,na,Mammalia
S_182,C57Bl/6 mice,Mus musculus,na,Mammalia
S_182,Sprague Dawley rat,Rattus norvegicus,na,Mammalia
S_185,Micropogonias undulatus,Atlantic croaker,na,Fish
S_185,Sciaenops ocellatus,Red drum,na,Fish
S_185,Leiostomus xanthurus,Spot,na,Fish
S_185,Cynoscion nebulosus,Spotted seatrout,na,Fish
S_185,Paralichthys lethostigma,Southern founder,na,Fish
S_185,Mugil cephalus,Striped mullet,na,Fish
S_185,Scomberoides lysan,Queenfsh,na,Fish
S_185,Siganus rivulatus,Marbled spinefoot,na,Fish
S_185,Selar crumenophthalmus,Bigeye scad,na,Fish
S_185,Gerres longirostris,Strongspine silverbiddy,na,Fish
S_185,Caranx melampygus,Bluefn Trevally,na,Fish
S_185,Albuna glossodonta,BonefIsh,na,Fish
S_185,na,Abalone,The authors did not report the scientific name,Bivalvia
S_185,na,Mussels,The authors did not report the scientific name,Bivalvia
S_185,Saccostrea glomerata,Oyster,The authors did not report the scientific name,Bivalvia
S_185,na,Lobster,The authors did not report the scientific name,Crustacea
S_185,Scomberoides lysan,Doublespotted Queenfsh,na,Fish
S_185,Siganus rivulatus,Marbled Spinefoot,na,Fish
